104.121049674,255.664463499,42.871663242,2592.083369313,131.396024592,160.368730582,105.564599754,162.265750702,113.122794153
102.444196647,227.627785597,46.004753962,2391.068660514,126.449794323,177.354991551,85.572591227,156.820725773,111.925158645
106.211810563,231.164260977,47.010942547,2608.921172608,139.711557816,165.997156028,81.186530202,142.248279927,110.897000558
117.671323677,223.026834536,42.105269436,2694.24517815,136.442501302,184.438480598,86.562971035,140.651201529,104.130217766
111.450018608,232.404580562,52.714577795,2510.10196174,127.507483813,183.768165479,82.250052817,149.186118155,106.588762337

new
109.557002153,238.868147915,56.939641485,2590.014819354,135.465232415,189.67575168,75.414209669,152.077082792,94.283756097
124.780060937,238.362051983,54.845515084,2487.556229475,136.33953765,183.75998287,84.815885865,152.069311048,112.791403962
129.687618166,224.006566855,50.636639196,2465.160242699,148.34523159,173.543411977,86.488526853,144.049161269,108.713831391
120.083014275,237.814771838,54.136984304,2421.161015594,139.231826664,179.55452224,86.48705149,145.869921105,108.318067824
131.035755119,244.578992751,52.72212544,2381.887311201,120.820838054,190.256638431,83.151873073,148.861586648,126.738840594
