54.787349719,189.862917421,37.288895502,268.694541657,111.085124824,114.43061765,154.164265821,189.337002519,72.425721006,0.198981084,15.938797982
56.549199998,198.30374338,37.859137803,287.34763081,113.174237867,124.254088873,164.155329744,194.946482481,77.254369638,0.247074233,16.177347431
57.418837,198.965499838,37.837238193,279.145572962,114.097995649,118.687554224,152.602785717,200.493987944,76.871032321,0.22193936,16.178215698
56.694147683,196.897045993,37.686314475,289.578911559,111.025116341,119.638659271,163.235426604,196.047660497,74.659750395,0.227593951,15.945472562
57.822437766,196.134230899,39.219889256,288.403119723,114.057845319,123.88832568,166.659167566,197.149472144,78.672552832,0.202043611,15.995372611

52.753308861,210.743875684,45.364853605,316.713731415,114.112012258,133.783719298,158.509040497,279.566189073,119.379857452,19.791020376,19.121808011 

60.021456185,212.576480595,40.465842153,280.81845107,85.323990452,116.134649152,170.804382469,206.322967936,117.200372004,19.780163627,15.872450817 (250partitions)

56.032527254,201.202456437,38.648280564,285.674085347,96.856773235,122.789229849,161.231211885,237.803942318,113.254689865,19.553946479,16.781088191 (84 partitions)

60.50514954,217.157243224,41.674048266,276.940604284,99.479037459,132.073053159,163.765492232,245.861433872,113.886928517,20.700210712,17.374598897 (170 partitions)

63.740867454,214.657459012,39.004426182,303.104228547,100.192170136,118.035419784,175.283858578,219.199740931,88.942389493,20.380581669,17.106152736 (300 partitions)

62.70181889,207.030625617,41.852458825,278.440467894,119.210258333,133.64144494,187.880560823,200.136476279,82.849661237,30.809817033,16.03768021  N1

60.681061693,199.327410714,39.462526742,252.505775748,124.210731418,128.800434564,163.936480196,200.407334326,82.032269814,20.168257084,18.20071562 N2 

61.546844027,204.65672097,38.459411227,238.094443094,118.380357314,120.348055316,173.978189125,199.813680016,80.925927271,29.13242942,16.699151186 N3

63.314027683,212.166889438,40.499724954,265.698988019,124.713923856,137.804766788,182.267798956,197.012150239,82.18155871,30.654323326,15.93179306 repartition 96, save and read

*******************************

55.814573793,193.468062233,37.999320657,292.813955881,111.131356013,117.296981419,156.757570185,189.221822725,73.445966591,0.213741532,16.218971329 (TODO 1)

56.090490455,177.962030344,32.435173132,258.264718286,102.393261039,110.766050445,148.706486504,185.605280401,71.295522254,26.941680137,13.203174939 (TODO 2)

58.499696122,211.808650506,38.274909938,299.066890658,93.857279753,129.35770794,158.730753896,300.307292508,114.764494896,19.479470364,16.607400225 (TODO 3)

61.26706397,199.636184842,38.928965649,268.010376373,90.655349175,125.973385879,174.416672341,178.999668896,91.152259918,20.547169825,21.325270524 (TODO 5)

59.563532703,203.748945042,38.247242673,246.417610458,121.81186908,122.64307448,172.079664573,197.034375708,78.809152664,20.122951355,20.586298355 (TODO 4-)

57.314177237,173.71451249,32.67120143,234.2917373,101.166944129,105.665836985,144.344369877,186.952264787,67.745881427,18.190999181,14.603766781 (TODO 4)

55.693460507,171.448205489,31.737413671,279.653145887,99.257988126,97.4322271,139.169129306,195.349719875,67.103384063,24.357548886,13.420071463 (TODO 6)

59.693398001,199.617809332,39.185136831,275.083209401,103.770562333,122.054003292,179.286670913,188.230218646,106.925796677,20.315442267,20.92494371 (TODO 7)


52.440592838,172.678860857,31.939114039,215.75675261,92.675502812,97.014486184,128.156740641,171.147096831,70.73880739,0.244581067,16.030476208 Case1
52.838856248,171.500918269,33.501460723,222.998363199,95.043361186,102.195784427,127.903271138,165.753648491,68.728326467,0.232447409,16.059236579 (case1 with overhead)


60.003233264,198.11995636,38.845088544,274.652741517,115.646394563,117.415703038,147.614944925,191.728612521,75.503170209,0.211061139,17.962929946
58.59734401,194.656673917,38.753313474,282.067744938,113.797955399,114.532838055,155.951689008,196.938584997,77.821381331,0.304580082,15.973712852
60.092551197,197.749277585,39.421479732,291.744128963,117.625884803,115.165937145,159.74704611,195.161724666,74.692366415,0.20440046,17.410304364
59.029302849,199.404419326,38.101198597,287.963065699,118.859762895,118.65504318,158.674049452,199.377602384,77.175525239,0.270962499,19.536093849
