1 31.12031 20.82447 33.07987 18.88878 26.87448 19.31918
2 50.37569 44.99531 42.94863 40.65202 41.07782 43.87364
3 5.222692 4.214003 5.145303 4.137914 4.64211 6.091953
4 242.9631 390.4646577 246.2006 384.1874581 277.5283 485.385129
5 25.21583 28.96804 23.38162 26.77288 30.18479 35.602
6 29.12278 23.29719 24.46349 23.0304 28.16192 41.49456
7 124.8908 127.1644 121.7907 128.4088 137.2572 151.7031
8 121.6350375 110.414567 103.7583568 102.6870571 94.30653187 96.26006477
9 4.832114623 2.415381666 4.973045729 4.083062949 5.476058397 2.513489115
10 1.249896923 0.537343 1.518487973 0.5936326 3.511999003 1.232091
