63.559280133,96.279080751,16.953820904,255.850308686,62.67798079,55.596084116,20.212434659,49.163786667,30.052270348
67.744008751,100.598253366,17.250187472,251.671392703,53.389626091,53.408695362,19.63571904,47.942817961,35.383899489
71.874304846,104.160260362,16.995533601,202.178443273,43.451355721,50.914241448,18.719157192,46.815610596,38.498202387
62.102433753,100.176916648,20.560969277,187.811214465,50.612754026,56.563415907,19.315429394,50.509513122,35.540623862
63.788691816,92.701805877,20.29367428,217.674071142,57.552940503,52.444710934,20.032224581,58.678489747,45.075535768

new

62.208262733,88.682266589,20.071106486,188.309626068,44.765749452,54.465371228,19.398007149,60.885452628,44.124442154
58.663380621,90.651524155,20.971368884,194.911209966,58.870288567,47.881611662,23.330158139,52.400360985,36.044821315
58.808103095,84.181265399,21.423392169,184.58945864,50.19627972,57.373312433,19.246895447,57.158250011,39.198825743
70.441377354,96.761228287,18.191978414,185.440334121,44.124437721,50.943300014,18.767180636,51.833395637,37.760944123
57.278370205,89.66467275,17.833342044,183.739494903,42.210637829,47.685836105,18.440774402,42.76613175,37.873558344
