100M/PT	HP	SBP	PBP
AVRO	0.78	0.61	0.11
CSV	0.50	0.94	0.06
ORC	0.56	0.83	0.11
PARQUET	0.56	0.83	0.11
HIVE	0.56	0.83	0.11
