100M/ST	AVRO	CSV	ORC	PARQUET	HIVE
HP	0.27	0.00	0.82	0.64	0.77
SBP	0.25	0.00	0.93	0.66	0.68
PBP	0.59	0.05	0.98	0.45	0.43
