100M/PBP	ST	VT	PT
AVRO	0.32	0.86	0.32
CSV	0.18	0.91	0.41
ORC	0.55	0.77	0.18
PARQUET	0.41	0.86	0.23
HIVE	0.45	0.82	0.23
