100M/VT	HP	SBP	PBP
AVRO	0.36	0.86	0.27
CSV	0.55	0.59	0.41
ORC	0.59	0.73	0.18
PARQUET	0.59	0.77	0.14
HIVE	0.55	0.91	0.05
