500M/SBP	ST	VT	PT
AVRO	0.14	0.82	0.55
CSV	0.14	0.82	0.55
ORC	0.36	0.73	0.41
PARQUET	0.18	0.77	0.55
HIVE	0.32	0.77	0.41
