500M/VT	AVRO	CSV	ORC	PARQUET	HIVE
HP	0.27	0.07	0.80	0.82	0.55
SBP	0.32	0.07	0.80	0.75	0.57
PBP	0.64	0.09	0.80	0.75	0.23
