100M/ST	HP	SBP	PBP
AVRO	0.45	0.86	0.18
CSV	0.23	0.68	0.59
ORC	0.32	0.95	0.23
PARQUET	0.55	0.95	0.00
HIVE	0.55	0.95	0.00
